history_id,application_id,status,note,changed_by,changed_at
H0001,APP-U0004-P0001,PENDING_REVIEW,Application submitted,U0004,2026-04-03T10:00:00
H0002,APP-U0004-P0001,INTERVIEW,Interview arranged at 2026-04-12T14:00:00 in Room B201. Bring portfolio,U0002,2026-04-07T09:15:00
H0003,APP-U0004-P0001,INTERVIEW,Interview confirmed: I will attend on time,U0004,2026-04-08T08:00:00
H0004,APP-U0004-P0002,PENDING_REVIEW,Application submitted,U0004,2026-04-03T10:00:00
H0005,APP-U0004-P0002,REJECTED,Role matched another shortlist,U0002,2026-04-06T16:30:00
H0006,APP-U0004-P0004,PENDING_REVIEW,Application submitted,U0004,2026-04-03T10:00:00
H0007,APP-U0004-P0004,WITHDRAWN,Applicant withdrew due to timetable clash,U0004,2026-04-08T12:00:00
H0008,APP-U0005-P0006,PENDING_REVIEW,Application submitted,U0005,2026-03-25T14:00:00
H0009,APP-U0005-P0006,INTERVIEW,Interview arranged at 2026-03-28T10:00:00 in Room C110. Bring transcript,U0002,2026-03-26T09:00:00
H0010,APP-U0005-P0006,HIRED,Offer accepted and onboarding completed,U0002,2026-04-04T09:00:00
H0011,APP-U0006-P0001,PENDING_REVIEW,Application submitted,U0006,2026-04-09T11:20:00
H0012,APP-U0006-P0003,PENDING_REVIEW,Application submitted,U0006,2026-04-09T11:20:00
H0013,APP-U0007-P0002,PENDING_REVIEW,Application submitted,U0007,2026-04-10T13:40:00
H0014,APP-U0007-P0004,PENDING_REVIEW,Application submitted,U0007,2026-04-10T13:40:00
H0015,APP-U0008-P0005,PENDING_REVIEW,Application submitted,U0008,2026-02-18T08:30:00
H0016,APP-U0008-P0005,INTERVIEW,Interview arranged at 2026-02-21T11:00:00 in Zoom. Prepare project examples,U0002,2026-02-19T09:00:00
H0017,APP-U0008-P0005,HIRED,Semester appointment confirmed,U0002,2026-02-24T15:30:00
H0018,APP-U0009-P0003,PENDING_REVIEW,Application submitted,U0009,2026-04-05T15:10:00
H0019,APP-U0009-P0003,INTERVIEW,Interview arranged at 2026-04-13T10:30:00 in Lab 5. Bring notebook,U0003,2026-04-10T09:40:00
H0020,APP-U0009-P0003,INTERVIEW,Interview reschedule requested: Exam clash on that morning,U0009,2026-04-10T20:15:00
H0021,APP-U0010-P0004,PENDING_REVIEW,Application submitted,U0010,2026-04-06T16:25:00
H0022,APP-U0010-P0004,INTERVIEW,Interview arranged at 2026-04-12T16:00:00 in Studio 2. Bring portfolio,U0003,2026-04-10T14:20:00
H0023,APP-U0011-P0002,PENDING_REVIEW,Application submitted,U0011,2026-04-07T12:10:00
