application_id,user_id,position_id,priority_no,status,feedback,submitted_at,updated_at
APP-U0004-P0001,U0004,P0001,1,INTERVIEW,,2026-04-03T10:00:00,2026-04-07T09:15:00
APP-U0004-P0002,U0004,P0002,2,REJECTED,Role matched another shortlist,2026-04-03T10:00:00,2026-04-06T16:30:00
APP-U0004-P0004,U0004,P0004,3,WITHDRAWN,Candidate withdrew after schedule clash,2026-04-03T10:00:00,2026-04-08T12:00:00
APP-U0005-P0006,U0005,P0006,1,HIRED,Offered and onboarded,2026-03-25T14:00:00,2026-04-04T09:00:00
APP-U0006-P0001,U0006,P0001,1,PENDING_REVIEW,,2026-04-09T11:20:00,2026-04-09T11:20:00
APP-U0006-P0003,U0006,P0003,2,PENDING_REVIEW,,2026-04-09T11:20:00,2026-04-09T11:20:00
APP-U0007-P0002,U0007,P0002,1,PENDING_REVIEW,,2026-04-10T13:40:00,2026-04-10T13:40:00
APP-U0007-P0004,U0007,P0004,2,PENDING_REVIEW,,2026-04-10T13:40:00,2026-04-10T13:40:00
APP-U0008-P0005,U0008,P0005,1,HIRED,Semester appointment confirmed,2026-02-18T08:30:00,2026-02-24T15:30:00
APP-U0009-P0003,U0009,P0003,1,INTERVIEW,,2026-04-05T15:10:00,2026-04-10T20:15:00
APP-U0010-P0004,U0010,P0004,1,INTERVIEW,,2026-04-06T16:25:00,2026-04-10T14:20:00
APP-U0011-P0002,U0011,P0002,1,PENDING_REVIEW,,2026-04-07T12:10:00,2026-04-07T12:10:00
